epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,386.164,0.95437,0.588,1.23996,0.89143,0.88539,0.92301,0.68343,1.02428,0.6779,1.29171,0.0004085,0.0004085,0.0004085
70,390.32,0.96072,0.62121,1.27514,0.89382,0.86462,0.92859,0.71398,0.94829,0.68026,1.24322,0.000396125,0.000396125,0.000396125
71,394.694,0.91532,0.59985,1.25268,0.87913,0.86686,0.92029,0.66839,1.06459,0.68923,1.31517,0.00038375,0.00038375,0.00038375
72,399.006,0.88587,0.58129,1.1952,0.90495,0.85817,0.91967,0.63596,1.17044,0.72682,1.39903,0.000371375,0.000371375,0.000371375
73,403.224,0.90805,0.60075,1.21842,0.89947,0.8373,0.91782,0.65413,1.08779,0.69427,1.3483,0.000359,0.000359,0.000359
74,407.566,0.91321,0.59064,1.22353,0.89128,0.84254,0.9206,0.70925,0.94749,0.66978,1.2514,0.000346625,0.000346625,0.000346625
75,411.769,0.90508,0.57748,1.2231,0.91514,0.85649,0.91659,0.6748,1.02289,0.6598,1.29932,0.00033425,0.00033425,0.00033425
76,416.018,0.87176,0.55953,1.19949,0.92125,0.8592,0.91792,0.65631,1.08618,0.69094,1.34548,0.000321875,0.000321875,0.000321875
77,420.189,0.90499,0.54988,1.20055,0.89984,0.89038,0.92217,0.65519,1.08215,0.6649,1.33868,0.0003095,0.0003095,0.0003095
78,424.407,0.8637,0.51824,1.1703,0.91203,0.8951,0.91807,0.67479,1.01148,0.62667,1.28221,0.000297125,0.000297125,0.000297125
79,428.609,0.88776,0.59345,1.2418,0.90206,0.8951,0.92342,0.67492,1.08182,0.64552,1.32143,0.00028475,0.00028475,0.00028475
80,432.796,0.90795,0.58779,1.22252,0.93209,0.89288,0.92875,0.6636,1.13739,0.64702,1.36781,0.000272375,0.000272375,0.000272375
81,437.107,0.87321,0.55066,1.20644,0.92817,0.88958,0.93222,0.67362,1.11017,0.63987,1.33785,0.00026,0.00026,0.00026
82,441.326,0.85109,0.55094,1.2048,0.96187,0.8697,0.93687,0.7082,0.99182,0.59277,1.25483,0.000247625,0.000247625,0.000247625
83,445.544,0.87678,0.56393,1.20603,0.91415,0.87587,0.93236,0.70185,0.98488,0.61146,1.25385,0.00023525,0.00023525,0.00023525
84,449.715,0.81011,0.50413,1.16655,0.90607,0.89095,0.93057,0.68067,1.04629,0.6287,1.3026,0.000222875,0.000222875,0.000222875
85,453.871,0.80549,0.491,1.15729,0.90597,0.88896,0.9308,0.67765,1.0798,0.6361,1.32087,0.0002105,0.0002105,0.0002105
86,458.019,0.84508,0.53285,1.18068,0.91265,0.89203,0.94021,0.69674,1.04511,0.62237,1.29407,0.000198125,0.000198125,0.000198125
87,462.206,0.80296,0.49111,1.17038,0.93026,0.88891,0.9464,0.71964,0.9257,0.56787,1.22079,0.00018575,0.00018575,0.00018575
88,466.698,0.7843,0.4808,1.13259,0.92999,0.89704,0.95182,0.73491,0.88661,0.54165,1.19699,0.000173375,0.000173375,0.000173375
89,470.966,0.81569,0.48753,1.14523,0.9572,0.88497,0.9502,0.73853,0.91268,0.54256,1.20946,0.000161,0.000161,0.000161
90,475.391,0.77785,0.50117,1.15103,0.91392,0.93613,0.94993,0.72074,0.97178,0.54405,1.24444,0.000148625,0.000148625,0.000148625
91,494.887,0.65068,0.47465,1.02994,0.93043,0.9277,0.95002,0.70367,1.01988,0.54438,1.27386,0.00013625,0.00013625,0.00013625
92,499.11,0.70434,0.45099,1.11643,0.91822,0.93672,0.95143,0.70312,1.03335,0.55829,1.27755,0.000123875,0.000123875,0.000123875
93,503.249,0.68514,0.40291,1.05636,0.93812,0.90758,0.95138,0.71316,1.01764,0.56603,1.26587,0.0001115,0.0001115,0.0001115
94,507.452,0.64423,0.42211,1.04279,0.93814,0.90723,0.94765,0.71614,0.97589,0.57389,1.24356,9.9125e-05,9.9125e-05,9.9125e-05
95,511.748,0.67755,0.41243,1.10493,0.94052,0.90723,0.95311,0.71961,0.96687,0.57151,1.2463,8.675e-05,8.675e-05,8.675e-05
96,515.934,0.66596,0.39684,1.09149,0.94255,0.90738,0.95761,0.70891,0.99866,0.56845,1.27488,7.4375e-05,7.4375e-05,7.4375e-05
97,520.074,0.68595,0.3947,1.10624,0.94438,0.9076,0.95745,0.69695,1.01663,0.57348,1.28566,6.2e-05,6.2e-05,6.2e-05
98,524.245,0.6524,0.37215,1.05089,0.94322,0.90732,0.95809,0.69021,1.03918,0.58443,1.29867,4.9625e-05,4.9625e-05,4.9625e-05
99,528.447,0.65172,0.36814,1.04842,0.95364,0.91685,0.96459,0.69254,1.02709,0.57035,1.2856,3.725e-05,3.725e-05,3.725e-05
100,532.697,0.66945,0.38782,1.07956,0.93102,0.94236,0.96794,0.70711,1.01123,0.56313,1.27347,2.4875e-05,2.4875e-05,2.4875e-05
